split,scope,horizon_half_hours,horizon_hours,method,n,mae,rmse,bias,mae_skill_vs_daily_seasonal
validation,horizon,1,0.5,Persistence,8594,4.8185943681638355,6.722386609786776,-0.009192459855713288,0.8835579075234228
validation,horizon,1,0.5,DailySeasonal,8594,41.38189434489178,54.39987611041486,-0.05143123109145916,0.0
validation,horizon,1,0.5,WeeklySeasonal,8594,60.42611124040028,75.33784121427351,-1.5997207353967884,-0.4602065032786333
validation,horizon,1,0.5,Climatology,8594,61.76584914018514,72.58019026910019,44.141916294092916,-0.49258148081395325
validation,horizon,1,0.5,HistGradientBoosting,8594,3.7210843024431086,5.031019091594733,0.434853566035524,0.9100794112654622
validation,horizon,1,0.5,RandomForest,8594,3.959039631311216,5.346968431558894,0.41926140860990263,0.9043291832337317
validation,horizon,1,0.5,ValidationSelectedBaseline,8594,4.8185943681638355,6.722386609786776,-0.009192459855713288,0.8835579075234228
validation,horizon,2,1.0,Persistence,8593,8.549167927382753,11.928347115728211,-0.021296404049807982,0.793408231274343
validation,horizon,2,1.0,DailySeasonal,8593,41.38193878738508,54.40092255397524,-0.04294192947748167,0.0
validation,horizon,2,1.0,WeeklySeasonal,8593,60.41952752240196,75.32961279877186,-1.58629116722914,-0.4600458386647732
validation,horizon,2,1.0,Climatology,8593,61.76801902836624,72.57990672130468,44.142416924407605,-0.4926323134767112
validation,horizon,2,1.0,HistGradientBoosting,8593,6.178356214552538,8.158693619667687,0.8905329686951161,0.850699208505041
validation,horizon,2,1.0,RandomForest,8593,6.770524595357855,8.975279625895299,1.0032879631395457,0.8363893816057311
validation,horizon,2,1.0,ValidationSelectedBaseline,8593,8.549167927382753,11.928347115728211,-0.021296404049807982,0.793408231274343
validation,horizon,3,1.5,Persistence,8592,11.997206703910615,16.65289468241297,-0.03584729981378026,0.7100862316272634
validation,horizon,3,1.5,DailySeasonal,8592,41.38198324022346,54.40215748747806,-0.035381750465549346,0.0
validation,horizon,3,1.5,WeeklySeasonal,8592,60.41340782122905,75.32110033997499,-1.5733240223463687,-0.45989638704669344
validation,horizon,3,1.5,Climatology,8592,61.76980650730344,72.57936589909542,44.14272330440347,-0.49267390469732075
validation,horizon,3,1.5,HistGradientBoosting,8592,8.620156443451094,11.312473877115208,1.9022059258998114,0.7916930082009151
validation,horizon,3,1.5,RandomForest,8592,9.179083331401905,12.149798205542979,1.6297002836522962,0.7781864808625267
validation,horizon,3,1.5,ValidationSelectedBaseline,8592,11.997206703910615,16.65289468241297,-0.03584729981378026,0.7100862316272634
validation,horizon,4,2.0,Persistence,8591,15.150389942963567,20.88118998005434,-0.05715283436154115,0.6338865292115552
validation,horizon,4,2.0,DailySeasonal,8591,41.38167850075661,54.40346435660783,-0.02840181585380049,0.0
validation,horizon,4,2.0,WeeklySeasonal,8591,60.4068210918403,75.31344581464133,-1.5598882551507391,-0.4597479677083627
validation,horizon,4,2.0,Climatology,8591,61.77218222683635,72.57972265525568,44.14338943445868,-0.49274230685705334
validation,horizon,4,2.0,HistGradientBoosting,8591,10.644633956704935,13.902651170991357,2.5395196229661985,0.7427694007987058
validation,horizon,4,2.0,RandomForest,8591,11.302667824309948,14.904493788150827,2.3807783533584517,0.7268678257189762
validation,horizon,4,2.0,ValidationSelectedBaseline,8591,15.150389942963567,20.88118998005434,-0.05715283436154115,0.6338865292115552
validation,horizon,5,2.5,Persistence,8590,18.095459837019792,24.662060524952853,-0.08032596041909197,0.5627296203984493
validation,horizon,5,2.5,DailySeasonal,8590,41.38277066356228,54.40509032542646,-0.02142025611175786,0.0
validation,horizon,5,2.5,WeeklySeasonal,8590,60.40279394644936,75.30890672355798,-1.549010477299185,-0.45961212789539707
validation,horizon,5,2.5,Climatology,8590,61.77406024572189,72.57948168145946,44.143215207384706,-0.4927482924702824
validation,horizon,5,2.5,HistGradientBoosting,8590,12.803574054472131,16.54836647407922,3.5726013575829882,0.6906061665478156
validation,horizon,5,2.5,RandomForest,8590,13.412313897167088,17.45839199230995,3.5681793906879515,0.6758961837957194
validation,horizon,5,2.5,ValidationSelectedBaseline,8590,18.095459837019792,24.662060524952853,-0.08032596041909197,0.5627296203984493
validation,horizon,6,3.0,Persistence,8589,20.82465944813133,28.058267716298744,-0.10024449877750612,0.4967970088535908
validation,horizon,6,3.0,DailySeasonal,8589,41.38421236465246,54.40675835338131,-0.015717778553964373,0.0
validation,horizon,6,3.0,WeeklySeasonal,8589,60.39911514728141,75.30513393595808,-1.5384794504598907,-0.4594723856305687
validation,horizon,6,3.0,Climatology,8589,61.77608540118187,72.57919614840759,44.143297081317336,-0.4927452250836295
validation,horizon,6,3.0,HistGradientBoosting,8589,14.894047286136638,19.06116073797291,4.645755145920753,0.6401031592700286
validation,horizon,6,3.0,RandomForest,8589,15.584378958501311,19.921505834372322,4.687036232056644,0.6234221199818603
