horizon_half_hours,method,train_rows,validation_rows,test_rows
1,HistGradientBoosting,33452,8657,8784
1,RandomForest,33452,8657,8784
2,HistGradientBoosting,33452,8657,8784
2,RandomForest,33452,8657,8784
3,HistGradientBoosting,33452,8657,8784
3,RandomForest,33452,8657,8784
4,HistGradientBoosting,33452,8657,8784
4,RandomForest,33452,8657,8784
5,HistGradientBoosting,33452,8657,8784
5,RandomForest,33452,8657,8784
6,HistGradientBoosting,33452,8657,8784
6,RandomForest,33452,8657,8784
7,HistGradientBoosting,33452,8657,8784
7,RandomForest,33452,8657,8784
8,HistGradientBoosting,33452,8657,8784
8,RandomForest,33452,8657,8784
9,HistGradientBoosting,33452,8657,8784
9,RandomForest,33452,8657,8784
10,HistGradientBoosting,33452,8657,8784
10,RandomForest,33452,8657,8784
11,HistGradientBoosting,33452,8657,8784
11,RandomForest,33452,8657,8784
12,HistGradientBoosting,33452,8657,8784
12,RandomForest,33452,8657,8784
13,HistGradientBoosting,33452,8657,8784
13,RandomForest,33452,8657,8784
14,HistGradientBoosting,33452,8657,8784
14,RandomForest,33452,8657,8784
15,HistGradientBoosting,33452,8657,8784
15,RandomForest,33452,8657,8784
16,HistGradientBoosting,33452,8657,8784
16,RandomForest,33452,8657,8784
17,HistGradientBoosting,33452,8657,8784
17,RandomForest,33452,8657,8784
18,HistGradientBoosting,33452,8657,8784
18,RandomForest,33452,8657,8784
19,HistGradientBoosting,33452,8657,8784
19,RandomForest,33452,8657,8784
20,HistGradientBoosting,33452,8657,8784
20,RandomForest,33452,8657,8784
21,HistGradientBoosting,33452,8657,8784
21,RandomForest,33452,8657,8784
22,HistGradientBoosting,33452,8657,8784
22,RandomForest,33452,8657,8784
23,HistGradientBoosting,33452,8657,8784
23,RandomForest,33452,8657,8784
24,HistGradientBoosting,33452,8657,8784
24,RandomForest,33452,8657,8784
25,HistGradientBoosting,33452,8657,8784
25,RandomForest,33452,8657,8784
26,HistGradientBoosting,33452,8657,8784
26,RandomForest,33452,8657,8784
27,HistGradientBoosting,33452,8657,8784
27,RandomForest,33452,8657,8784
28,HistGradientBoosting,33452,8657,8784
28,RandomForest,33452,8657,8784
29,HistGradientBoosting,33452,8657,8784
29,RandomForest,33452,8657,8784
30,HistGradientBoosting,33452,8657,8784
30,RandomForest,33452,8657,8784
31,HistGradientBoosting,33452,8657,8784
31,RandomForest,33452,8657,8784
32,HistGradientBoosting,33452,8657,8784
32,RandomForest,33452,8657,8784
33,HistGradientBoosting,33452,8657,8784
33,RandomForest,33452,8657,8784
34,HistGradientBoosting,33452,8657,8784
34,RandomForest,33452,8657,8784
35,HistGradientBoosting,33452,8657,8784
35,RandomForest,33452,8657,8784
36,HistGradientBoosting,33452,8657,8784
36,RandomForest,33452,8657,8784
37,HistGradientBoosting,33452,8657,8784
37,RandomForest,33452,8657,8784
38,HistGradientBoosting,33452,8657,8784
38,RandomForest,33452,8657,8784
39,HistGradientBoosting,33452,8657,8784
39,RandomForest,33452,8657,8784
40,HistGradientBoosting,33452,8657,8784
40,RandomForest,33452,8657,8784
41,HistGradientBoosting,33452,8657,8784
41,RandomForest,33452,8657,8784
42,HistGradientBoosting,33452,8657,8784
42,RandomForest,33452,8657,8784
43,HistGradientBoosting,33452,8657,8784
43,RandomForest,33452,8657,8784
44,HistGradientBoosting,33452,8657,8784
44,RandomForest,33452,8657,8784
45,HistGradientBoosting,33452,8657,8784
45,RandomForest,33452,8657,8784
46,HistGradientBoosting,33452,8657,8784
46,RandomForest,33452,8657,8784
47,HistGradientBoosting,33452,8657,8784
47,RandomForest,33452,8657,8784
48,HistGradientBoosting,33452,8657,8784
48,RandomForest,33452,8657,8784
