split,issue_time,window_hours,duration_hours,strategy,start_offset_hours,emissions_g_for_1kWh_job
test,2024-07-01 17:30:00+00:00,12,1,Immediate,0.0,92.5
test,2024-07-01 17:30:00+00:00,12,1,Oracle,7.0,54.5
test,2024-07-01 17:30:00+00:00,12,1,Persistence,0.0,92.5
test,2024-07-01 17:30:00+00:00,12,1,DailySeasonal,7.5,55.0
test,2024-07-01 17:30:00+00:00,12,1,WeeklySeasonal,5.5,58.5
test,2024-07-01 17:30:00+00:00,12,1,Climatology,5.0,57.5
test,2024-07-01 17:30:00+00:00,12,1,HistGradientBoosting,5.0,57.5
test,2024-07-01 17:30:00+00:00,12,1,RandomForest,3.0,70.0
test,2024-07-01 17:30:00+00:00,12,3,Immediate,0.0,89.66666666666667
test,2024-07-01 17:30:00+00:00,12,3,Oracle,6.5,55.666666666666664
test,2024-07-01 17:30:00+00:00,12,3,Persistence,0.0,89.66666666666667
test,2024-07-01 17:30:00+00:00,12,3,DailySeasonal,7.0,57.166666666666664
test,2024-07-01 17:30:00+00:00,12,3,WeeklySeasonal,4.5,56.666666666666664
test,2024-07-01 17:30:00+00:00,12,3,Climatology,5.0,56.333333333333336
test,2024-07-01 17:30:00+00:00,12,3,HistGradientBoosting,3.5,59.166666666666664
test,2024-07-01 17:30:00+00:00,12,3,RandomForest,2.5,66.0
test,2024-07-01 17:30:00+00:00,12,6,Immediate,0.0,75.75
test,2024-07-01 17:30:00+00:00,12,6,Oracle,4.0,57.333333333333336
test,2024-07-01 17:30:00+00:00,12,6,Persistence,0.0,75.75
test,2024-07-01 17:30:00+00:00,12,6,DailySeasonal,5.0,60.25
test,2024-07-01 17:30:00+00:00,12,6,WeeklySeasonal,3.5,57.416666666666664
test,2024-07-01 17:30:00+00:00,12,6,Climatology,4.0,57.333333333333336
test,2024-07-01 17:30:00+00:00,12,6,HistGradientBoosting,3.0,58.833333333333336
test,2024-07-01 17:30:00+00:00,12,6,RandomForest,0.0,75.75
test,2024-07-01 17:30:00+00:00,6,3,Immediate,0.0,89.66666666666667
test,2024-07-01 17:30:00+00:00,6,3,Oracle,3.0,61.833333333333336
test,2024-07-01 17:30:00+00:00,6,3,Persistence,0.0,89.66666666666667
test,2024-07-01 17:30:00+00:00,6,3,DailySeasonal,3.0,61.833333333333336
test,2024-07-01 17:30:00+00:00,6,3,WeeklySeasonal,3.0,61.833333333333336
test,2024-07-01 17:30:00+00:00,6,3,Climatology,3.0,61.833333333333336
test,2024-07-01 17:30:00+00:00,6,3,HistGradientBoosting,3.0,61.833333333333336
test,2024-07-01 17:30:00+00:00,6,3,RandomForest,2.5,66.0
test,2024-07-01 17:30:00+00:00,24,3,Immediate,0.0,89.66666666666667
test,2024-07-01 17:30:00+00:00,24,3,Oracle,6.5,55.666666666666664
test,2024-07-01 17:30:00+00:00,24,3,Persistence,0.0,89.66666666666667
test,2024-07-01 17:30:00+00:00,24,3,DailySeasonal,18.0,103.83333333333333
test,2024-07-01 17:30:00+00:00,24,3,WeeklySeasonal,16.5,102.66666666666667
test,2024-07-01 17:30:00+00:00,24,3,Climatology,5.0,56.333333333333336
test,2024-07-01 17:30:00+00:00,24,3,HistGradientBoosting,3.5,59.166666666666664
test,2024-07-01 17:30:00+00:00,24,3,RandomForest,2.5,66.0
test,2024-07-02 17:30:00+00:00,12,1,Immediate,0.0,158.0
test,2024-07-02 17:30:00+00:00,12,1,Oracle,6.0,70.0
test,2024-07-02 17:30:00+00:00,12,1,Persistence,0.0,158.0
test,2024-07-02 17:30:00+00:00,12,1,DailySeasonal,7.0,72.5
test,2024-07-02 17:30:00+00:00,12,1,WeeklySeasonal,6.5,71.0
test,2024-07-02 17:30:00+00:00,12,1,Climatology,7.5,73.0
test,2024-07-02 17:30:00+00:00,12,1,HistGradientBoosting,5.0,81.5
test,2024-07-02 17:30:00+00:00,12,1,RandomForest,4.0,95.0
test,2024-07-02 17:30:00+00:00,12,3,Immediate,0.0,158.66666666666666
test,2024-07-02 17:30:00+00:00,12,3,Oracle,5.5,72.16666666666667
test,2024-07-02 17:30:00+00:00,12,3,Persistence,0.0,158.66666666666666
test,2024-07-02 17:30:00+00:00,12,3,DailySeasonal,6.5,73.33333333333333
test,2024-07-02 17:30:00+00:00,12,3,WeeklySeasonal,4.5,78.16666666666667
test,2024-07-02 17:30:00+00:00,12,3,Climatology,7.0,75.5
test,2024-07-02 17:30:00+00:00,12,3,HistGradientBoosting,4.0,82.16666666666667
test,2024-07-02 17:30:00+00:00,12,3,RandomForest,3.0,102.33333333333333
test,2024-07-02 17:30:00+00:00,12,6,Immediate,0.0,130.5
test,2024-07-02 17:30:00+00:00,12,6,Oracle,4.0,78.83333333333333
test,2024-07-02 17:30:00+00:00,12,6,Persistence,0.0,130.5
test,2024-07-02 17:30:00+00:00,12,6,DailySeasonal,4.0,78.83333333333333
